input,output,hamming_distance
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111110111110111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111,3
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111110111111111111111111111111111111111,2
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,01111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,2
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,10111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111,2
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111,1
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111,1
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111,1
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111,1
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111101111111111111111111111011111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111,3
11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111111111011111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,2
